Code site;Adresse;Arrondissement;Opérateur;Type;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;se_anno_cad_data;geo_shape;geo_point_2d
75120_020_01;4 Rue paquelin;75020;FREE MOBILE;3G/4G/5G;21/01/2013;24/01/2014;;;;"{""coordinates"": [2.4022755003309255, 48.86890199966588], ""type"": ""Point""}";48.86890199966588, 2.4022755003309255
75120_004_01;40 Rue piat;75020;FREE MOBILE;3G/4G/5G;09/10/2013;18/10/2013;01/12/2022;;;"{""coordinates"": [2.384536500342644, 48.8724749997215], ""type"": ""Point""}";48.8724749997215, 2.384536500342644
T15148;41 Avenue foch;75116;BOUYGUES;;16/12/2005;;;;;"{""coordinates"": [2.284411499475747, 48.872106000150005], ""type"": ""Point""}";48.872106000150005, 2.284411499475747
T15866;42-44 rue de gergovie;75014;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3159385002755863, 48.83309099981459], ""type"": ""Point""}";48.83309099981459, 2.3159385002755863
75113_091_01;42 Rue daviel;75013;FREE MOBILE;3G/4G/5G;28/12/2023;28/12/2023;;;;"{""coordinates"": [2.343424500296778, 48.828464999951166], ""type"": ""Point""}";48.828464999951166, 2.343424500296778
751286;44 B rue de la vega;75012;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.404849500123313, 48.83968800034011], ""type"": ""Point""}";48.83968800034011, 2.404849500123313
75110_006_11;44 Rue bichat;75010;FREE MOBILE;3G/4G/5G;29/11/2017;29/11/2017;;;;"{""coordinates"": [2.364786000336668, 48.87379800037367], ""type"": ""Point""}";48.87379800037367, 2.364786000336668
753585;47 B rue boileau;75016;SFR;3G/4G/5G;04/12/2023;;;;;"{""coordinates"": [2.263504500182808, 48.843963000240144], ""type"": ""Point""}";48.843963000240144, 2.263504500182808
7510057838;1 Avenue beaucour;75008;SFR;3G/4G/5G;01/12/2023;;;;;"{""coordinates"": [2.3016419996982616, 48.87681300023208], ""type"": ""Point""}";48.87681300023208, 2.3016419996982616
00000470U7;10 Rue jobbe duval;75015;ORANGE;3G/4G/5G;17/12/2012;01/03/2013;04/03/2021;;;"{""coordinates"": [2.2989599995301626, 48.834908999780865], ""type"": ""Point""}";48.834908999780865, 2.2989599995301626
75118_017_03;10 Rue Burq;75018;FREE MOBILE;3G/4G/5G;23/01/2014;23/01/2014;08/12/2022;;;"{""coordinates"": [2.3363234997133984, 48.886091999976465], ""type"": ""Point""}";48.886091999976465, 2.3363234997133984
75112_071_02;100 Quai de la râpée;75012;FREE MOBILE;3G/4G/5G;13/08/2021;13/08/2021;17/08/2021;;;"{""coordinates"": [2.3672520005764146, 48.84627600008322], ""type"": ""Point""}";48.84627600008322, 2.3672520005764146
75114_050_04;101 Boulevard brune;75014;FREE MOBILE;3G/4G/5G;25/02/2020;25/02/2020;;;;"{""coordinates"": [2.3149845001236766, 48.825764999670646], ""type"": ""Point""}";48.825764999670646, 2.3149845001236766
75110_001_01;106 Boulevard magenta;75010;FREE MOBILE;3G/4G/5G;17/01/2013;29/11/2013;;;;"{""coordinates"": [2.3547644994694386, 48.878000999803945], ""type"": ""Point""}";48.878000999803945, 2.3547644994694386
00080036U7;107 Avenue de la bourdonnais;75007;ORANGE;3G/4G/5G;26/02/2004;01/08/2013;27/10/2022;;;"{""coordinates"": [2.3042700000759417, 48.85516799975501], ""type"": ""Point""}";48.85516799975501, 2.3042700000759417
75111_004_03;107 Rue parmentier;75011;FREE MOBILE;3G/4G/5G;23/11/2015;23/11/2015;28/05/2024;;;"{""coordinates"": [2.3728005006485344, 48.86737200034221], ""type"": ""Point""}";48.86737200034221, 2.3728005006485344
00007979U5;11 Rue de tourtille;75020;ORANGE;3G/4G/5G;24/01/2011;21/06/2013;15/03/2021;;;"{""coordinates"": [2.3814945006399664, 48.87071100029288], ""type"": ""Point""}";48.87071100029288, 2.3814945006399664
00000242U8;11-13 Rue de l'ourcq;75019;ORANGE;3G/4G/5G;11/08/2011;05/09/2013;22/02/2022;;;"{""coordinates"": [2.3844329996691735, 48.88755000001769], ""type"": ""Point""}";48.88755000001769, 2.3844329996691735
751189;112 Avenue kleber;75116;SFR;2G/3G/4G/5G;16/06/2022;;;;;"{""coordinates"": [2.287970999557818, 48.864428999606346], ""type"": ""Point""}";48.864428999606346, 2.287970999557818
00024992U3;12 Boulevard des invalides;75007;ORANGE;3G/4G/5G;12/11/2013;03/12/2013;12/12/2022;;;"{""coordinates"": [2.3144427434675214, 48.85328014005749], ""type"": ""Point""}";48.85328014005749, 2.3144427434675214
00007800U3;12 Avenue marceau;75008;ORANGE;3G/4G/5G;;24/03/2013;01/07/2024;;;"{""coordinates"": [2.2999364997585277, 48.866165999710745], ""type"": ""Point""}";48.866165999710745, 2.2999364997585277
750890;12 Rue benjamin franklin;75116;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.285437794754382, 48.85959655233501], ""type"": ""Point""}";48.85959655233501, 2.285437794754382
751241;12 Rue bruneseau;75013;SFR;2G/3G/4G/5G;10/10/2022;;;;;"{""coordinates"": [2.3872185004271094, 48.824703000143316], ""type"": ""Point""}";48.824703000143316, 2.3872185004271094
T15325;12 Rue mesnil;75116;BOUYGUES;;09/09/2015;;;;;"{""coordinates"": [2.284195500533243, 48.868164000019426], ""type"": ""Point""}";48.868164000019426, 2.284195500533243
00000033U7;121 Rue d'alésia;75014;ORANGE;3G/4G;14/04/2013;19/02/2014;;;;"{""coordinates"": [2.323183500492007, 48.82899599979361], ""type"": ""Point""}";48.82899599979361, 2.323183500492007
75112_005_01;121 Boulevard soult;75012;FREE MOBILE;3G/4G/5G;22/11/2013;22/11/2013;;;;"{""coordinates"": [2.410213499754191, 48.84497999984805], ""type"": ""Point""}";48.84497999984805, 2.410213499754191
00000073U8;123 Rue de charonne;75011;ORANGE;3G/4G/5G;16/05/2011;18/10/2013;04/11/2020;;;"{""coordinates"": [2.385908999653625, 48.854943000110836], ""type"": ""Point""}";48.854943000110836, 2.385908999653625
75117_026_01;128 Boulevard malesherbes;75017;FREE MOBILE;3G/4G/5G;13/01/2016;13/01/2016;;;;"{""coordinates"": [2.308036500221045, 48.884777999998065], ""type"": ""Point""}";48.884777999998065, 2.308036500221045
T10642;128 Rue des pyrenees;75020;BOUYGUES;;31/05/1996;;;;;"{""coordinates"": [2.403202500657133, 48.8584169995716], ""type"": ""Point""}";48.8584169995716, 2.403202500657133
7510000048;13 Rue trousseau;75011;SFR;2G/3G/4G/5G;31/03/2022;;;;;"{""coordinates"": [2.3786958342624107, 48.85178459060491], ""type"": ""Point""}";48.85178459060491, 2.3786958342624107
T40500;13 Rue victor dejeante;75020;BOUYGUES;;22/07/2021;;;;;"{""coordinates"": [2.410838999336907, 48.86729100003668], ""type"": ""Point""}";48.86729100003668, 2.410838999336907
757309;134 Rue du chevalleret;75013;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.368507500223188, 48.8339189999], ""type"": ""Point""}";48.8339189999, 2.368507500223188
75109_010_06;14 Rue de trévise;75009;FREE MOBILE;3G/4G/5G;28/10/2016;27/10/2016;;;;"{""coordinates"": [2.345291999522323, 48.87347400024781], ""type"": ""Point""}";48.87347400024781, 2.345291999522323
00007815U3;14 Rue olivier messiaen;75013;ORANGE;3G/4G/5G;05/04/2018;05/04/2018;07/11/2022;;;"{""coordinates"": [2.378605499534597, 48.83039999955565], ""type"": ""Point""}";48.83039999955565, 2.378605499534597
75120_003_05;145 Rue pelleport;75020;FREE MOBILE;3G/4G/5G;05/06/2014;27/08/2014;30/06/2022;;;"{""coordinates"": [2.39778900053992, 48.873482999836725], ""type"": ""Point""}";48.873482999836725, 2.39778900053992
00000076U7;15 Rue erlanger;75016;ORANGE;3G/4G/5G;07/10/2013;29/11/2018;18/12/2020;;;"{""coordinates"": [2.261659499787078, 48.84691499962929], ""type"": ""Point""}";48.84691499962929, 2.261659499787078
75119_080_01;15 Boulevard de la commanderie;75019;FREE MOBILE;3G/4G/5G;22/11/2023;22/11/2023;13/12/2023;;;"{""coordinates"": [2.3852429998994285, 48.901679999615915], ""type"": ""Point""}";48.901679999615915, 2.3852429998994285
